id,idn,cod_libro,id_libro,numero_capitolo,lingua,titolo
Gen_1,1,Gen,1,1,en,The Story of Creation
Gen_1,1,Gen,1,1,it,Creazione e riposo divino
Gen_2,2,Gen,1,2,en,The Garden of Eden
Gen_2,2,Gen,1,2,it,Il riposo sabbatico
Gen_3,3,Gen,1,3,en,Expulsion from Eden
Gen_3,3,Gen,1,3,it,Il peccato di Adamo
Gen_4,4,Gen,1,4,en,Cain and Abel
Gen_4,4,Gen,1,4,it,Caino uccide Abele
Gen_5,5,Gen,1,5,en,Generations: Adam to Noah
Gen_5,5,Gen,1,5,it,I Patriarchi antidiluviani
Gen_6,6,Gen,1,6,en,Origin of the Nephilim
Gen_6,6,Gen,1,6,it,Noè e il diluvio
Gen_7,7,Gen,1,7,en,The Great Flood
Gen_7,7,Gen,1,7,it,Il diluvio
Gen_8,8,Gen,1,8,en,The Great Flood
Gen_8,8,Gen,1,8,it,Nuovo inizio della creazione
Gen_9,9,Gen,1,9,en,Covenant with Noah
Gen_9,9,Gen,1,9,it,L'ubriachezza di Noè
Gen_10,10,Gen,1,10,en,Table of the Nations
Gen_10,10,Gen,1,10,it,L'umanita' dopo il diluvio
Gen_11,11,Gen,1,11,en,Tower of Babel
Gen_11,11,Gen,1,11,it,La torre di Babele e nuova genealogia
Gen_12,12,Gen,1,12,en,Abram’s Call and Migration
Gen_12,12,Gen,1,12,it,Sara insidiata in Egitto
Gen_13,13,Gen,1,13,en,Abram and Lot Part
Gen_13,13,Gen,1,13,it,Abramo e Lot
Gen_14,14,Gen,1,14,en,The Four Kings
Gen_14,14,Gen,1,14,it,La campagna di Chedorlaòmer
Gen_15,15,Gen,1,15,en,The Covenant with Abram
Gen_15,15,Gen,1,15,it,Dialogo tra Dio e Abramo: l'alleanza
Gen_16,16,Gen,1,16,en,Birth of Ishmael
Gen_16,16,Gen,1,16,it,Nascita di Ismaele e cacciata di Agar
Gen_17,17,Gen,1,17,en,Covenant of Circumcision
Gen_17,17,Gen,1,17,it,Nuovo racconto dell'alleanza
Gen_18,18,Gen,1,18,en,Abraham’s Visitors
Gen_18,18,Gen,1,18,it,Promessa ad Abramo e distruzione di Sòdoma
Gen_19,19,Gen,1,19,en,Destruction of Sodom and Gomorrah
Gen_19,19,Gen,1,19,it,Lot e le figlie
Gen_20,20,Gen,1,20,en,Abraham at Gerar
Gen_20,20,Gen,1,20,it,Sara insidiata da Abimèlec
Gen_21,21,Gen,1,21,en,Birth of Isaac
Gen_21,21,Gen,1,21,it,Nascita di Isacco e cacciata di Agar e di Ismaele
Gen_22,22,Gen,1,22,en,The Testing of Abraham
Gen_22,22,Gen,1,22,it,Sacrificio di Isacco
Gen_23,23,Gen,1,23,en,Purchase of a Burial Plot
Gen_23,23,Gen,1,23,it,Morte e sepoltura di Sara
Gen_24,24,Gen,1,24,en,Isaac and Rebekah
Gen_24,24,Gen,1,24,it,Matrimonio tra Isacco e Rebecca
Gen_25,25,Gen,1,25,en,Abraham’s Sons by Keturah
Gen_25,25,Gen,1,25,it,Morte di Abramo e genealogia
Gen_26,26,Gen,1,26,en,Isaac and Abimelech
Gen_26,26,Gen,1,26,it,Rebecca insidiata da Abimèlec
Gen_27,27,Gen,1,27,en,Jacob’s Deception
Gen_27,27,Gen,1,27,it,La benedizione di Giacobbe
Gen_28,28,Gen,1,28,en,Jacob’s Dream at Bethel
Gen_28,28,Gen,1,28,it,Giacobbe in viaggio: il sogno della scala
Gen_29,29,Gen,1,29,en,Arrival in Haran
Gen_29,29,Gen,1,29,it,Matrimonio di Giacobbe con Lia e Rachele
Gen_30,30,Gen,1,30,en,Jacob Outwits Laban
Gen_30,30,Gen,1,30,it,Giacobbe si arricchisce
Gen_31,31,Gen,1,31,en,Flight from Laban
Gen_31,31,Gen,1,31,it,Giacobbe fugge via da Làbano
Gen_32,32,Gen,1,32,en,Envoys to Esau
Gen_32,32,Gen,1,32,it,Lotta con Dio
Gen_33,33,Gen,1,33,en,Jacob and Esau Meet
