id,code,testament,category,chapters,lang,des
1,Gen,A,1,50,it,Genesi
2,Es,A,1,40,it,Esodo
3,Lv,A,1,27,it,Levitico
4,Nm,A,1,36,it,Numeri
5,Dt,A,1,34,it,Deuteronomio
6,Gios,A,2,24,it,Giosuè
7,Gdc,A,2,21,it,Giudici
8,Rut,A,2,4,it,Rut
9,1Sam,A,2,31,it,Primo libro di Samuele
10,2Sam,A,2,24,it,Secondo libro di Samuele
11,1Re,A,2,22,it,Primo libro dei Re
12,2Re,A,2,25,it,Secondo libro dei Re
13,1Cr,A,2,29,it,Primo libro delle Cronache
14,2Cr,A,2,36,it,Secondo libro delle Cronache
15,Esd,A,2,10,it,Esdra
16,Nee,A,2,13,it,Neemia
17,Tob,A,2,14,it,Tobia
18,Gdt,A,2,16,it,Giuditta
19,Est,A,2,10,it,Ester
20,1Mac,A,2,16,it,Primo libro dei Maccabei
21,2Mac,A,2,15,it,Secondo libro dei Maccabei
22,Gb,A,3,42,it,Giobbe
23,Sal,A,3,150,it,Salmi
24,Prv,A,3,31,it,Proverbi
25,Qo,A,3,12,it,Qoèlet
26,Cant,A,3,8,it,Cantico dei Cantici
27,Sap,A,3,19,it,Sapienza
28,Sir,A,3,51,it,Siracide
29,Is,A,4,66,it,Isaia
30,Ger,A,4,52,it,Geremia
31,Lam,A,4,5,it,Lamentazioni
32,Bar,A,4,6,it,Baruc
33,Ez,A,4,48,it,Ezechiele
34,Dan,A,4,14,it,Daniele
35,Os,A,4,14,it,Osea
36,Gioe,A,4,4,it,Gioele
37,Am,A,4,9,it,Amos
38,Abd,A,4,1,it,Abdia
39,Gion,A,4,4,it,Giona
40,Mich,A,4,7,it,Michea
41,Naum,A,4,3,it,Naum
42,Abac,A,4,3,it,Abacuc
43,Sof,A,4,3,it,Sofonia
44,Agg,A,4,2,it,Aggeo
45,Zc,A,4,14,it,Zaccaria
46,Mal,A,4,3,it,Malachia
47,Mt,N,5,28,it,Vangelo secondo Matteo
48,Mc,N,5,16,it,Vangelo secondo Marco
49,Lc,N,5,24,it,Vangelo secondo Luca
50,Gv,N,5,21,it,Vangelo secondo Giovanni
51,At,N,6,28,it,Atti degli Apostoli
52,Rom,N,7,16,it,Lettera ai Romani
53,1Cor,N,7,16,it,Prima lettera ai Corinzi
