id,cod_versione,testo_breve
Gen_1,vulgata,"In principio creavit Deus caelum et terram. Terra autem erat inanis et vacua, et tenebrae super faciem abyssi, et spiritus Dei ferebatur super aquas."
Gen_2,vulgata,"Igitur perfecti sunt caeli et terra et omnis exercitus eorum. Complevitque Deus die septimo opus suum, quod fecerat, et requievit die septimo ab universo opere, quod patrarat."
Gen_3,vulgata,"Et serpens erat callidior cunctis animantibus agri, quae fecerat Dominus Deus. Qui dixit ad mulierem: “Verene praecepit vobis Deus, ut non comederetis de omni ligno paradisi?”. Cui respondit mulier: “De fructu lignorum, quae sunt in paradiso, vescimur;"
Gen_4,vulgata,"Adam vero cognovit Evam uxorem suam, quae concepit et peperit Cain dicens: “Acquisivi virum per Dominum”. Rursusque peperit fratrem eius Abel. Et fuit Abel pastor ovium et Cain agricola."
Gen_5,vulgata,"Hic est liber generationis Adam. In die qua creavit Deus hominem, ad similitudinem Dei fecit illum. Masculum et feminam creavit eos et benedixit illis; et vocavit nomen eorum Adam in die, quo creati sunt."
Gen_6,vulgata,"Cumque coepissent homines multiplicari super terram et filias procreassent, videntes filii Dei filias hominum quod essent pulchrae, acceperunt sibi uxores ex omnibus, quas elegerant."
Gen_7,vulgata,"Dixitque Dominus ad Noe: “Ingredere tu et omnis domus tua arcam; te enim vidi iustum coram me in generatione hac. Ex omnibus pecoribus mundis tolle septena septena, masculum et feminam; de pecoribus vero non mundis duo duo, masculum et feminam."
Gen_8,vulgata,"Recordatus autem Deus Noe cunctorumque animantium et omnium iumentorum, quae erant cum eo in arca, adduxit spiritum super terram, et imminutae sunt aquae. Et clausi sunt fontes abyssi et cataractae caeli, et prohibitae sunt pluviae de caelo."
Gen_9,vulgata,"Benedixitque Deus Noe et filiis eius et dixit ad eos: “Crescite et multiplicamini et implete terram. Et terror vester ac tremor sit super cuncta animalia terrae et super omnes volucres caeli cum universis, quae moventur super terram; omnes pisces maris manui vestrae traditi sunt."
Gen_10,vulgata,"Hae sunt generationes filiorum Noe, Sem, Cham et Iapheth; natique sunt eis filii post diluvium. Filii Iapheth: Gomer et Magog et Madai et Iavan et Thubal et Mosoch et Thiras."
Gen_11,vulgata,"Erat autem universa terra labii unius et sermonum eorundem. Cumque proficiscerentur de oriente, invenerunt campum in terra Sennaar et habitaverunt in eo."
Gen_12,vulgata,"Dixit autem Dominus ad Abram: “Egredere de terra tua et de cognatione tua et de domo patris tui in terram, quam monstrabo tibi. Faciamque te in gentem magnam et benedicam tibi et magnificabo nomen tuum, erisque in benedictionem."
Gen_13,vulgata,"Ascendit ergo Abram de Aegypto ipse et uxor eius et omnia, quae habebat, et Lot cum eo ad Nageb. Abram autem erat dives valde in pecoribus, argento et auro."
Gen_14,vulgata,"Factum est autem in illo tempore, ut Amraphel rex Sennaar et Arioch rex Ellasar et Chodorlahomor rex Elam et Thadal rex gentium inirent bellum contra Bara regem Sodomae et contra Bersa regem Gomorrae et contra Sennaab regem Adamae et contra Semeber regem Seboim contraque regem Belae; ipsa est Segor."
Gen_15,vulgata,"His itaque transactis, factus est sermo Domini ad Abram per visionem dicens: “Noli timere, Abram! Ego protector tuus sum, et merces tua magna erit nimis”. Dixitque Abram: “Domine Deus, quid dabis mihi? Ego vadam absque liberis, et heres domus meae erit Damascenus Eliezer ”."
Gen_16,vulgata,"Sarai autem uxor Abram non genuerat ei liberos; sed habens ancillam Aegyptiam nomine Agar, dixit marito suo: “Ecce conclusit me Dominus, ne parerem; ingredere ad ancillam meam, si forte saltem ex illa suscipiam filios”. Cumque ille acquiesceret deprecanti,"
Gen_17,vulgata,"Postquam Abram nonaginta et novem annorum factus est, apparuit ei Dominus dixitque ad eum: “Ego Deus omnipotens, ambula coram me et esto perfectus. Ponamque foedus meum inter me et te et multiplicabo te vehementer nimis”."
Gen_18,vulgata,"Apparuit autem ei Dominus iuxta Quercus Mambre sedenti in ostio tabernaculi sui in ipso fervore diei. Cumque elevasset oculos, apparuerunt ei tres viri stantes prope eum. Quos cum vidisset, cucurrit in occursum eorum de ostio tabernaculi et adoravit in terram"
Gen_19,vulgata,"Veneruntque duo angeli Sodomam vespere, sedente Lot in foribus civitatis. Qui cum vidisset eos, surrexit et ivit obviam eis adoravitque pronus in terram et dixit: “Obsecro, domini mei, declinate in domum pueri vestri et pernoctate; lavate pedes vestros et mane proficiscemini in viam vestram”. Qui dixerunt: “Minime, sed in platea pernoctabimus”."
Gen_20,vulgata,"Profectus inde Abraham in terram Nageb, habitavit inter Cades et Sur et peregrinatus est in Geraris. Dixitque de Sara uxore sua: “Soror mea est”. Misit ergo Abimelech rex Gerarae et tulit eam."
Gen_21,vulgata,"Visitavit autem Dominus Saram, sicut promiserat, et implevit Sarae, quae locutus est; concepitque et peperit Abrahae filium in senectute eius tempore, quo praedixerat ei Deus."
Gen_22,vulgata,"Quae postquam gesta sunt, tentavit Deus Abraham et dixit ad eum: “Abraham”. Ille respondit: “Adsum”. Ait: “Tolle filium tuum unigenitum, quem diligis, Isaac et vade in terram Moria; atque offer eum ibi in holocaustum super unum montium, quem monstravero tibi”."
Gen_23,vulgata,"Vixit autem Sara centum viginti septem annis et mortua est in Cariatharbe, quae est Hebron, in terra Chanaan; venitque Abraham, ut plangeret et fleret eam."
Gen_24,vulgata,"Erat autem Abraham senex dierumque multorum; et Dominus in cunctis benedixerat ei. Dixitque Abraham ad servum seniorem domus suae, qui praeerat omnibus, quae habebat: “Pone manum tuam subter femur meum,"
Gen_25,vulgata,"Abraham vero aliam duxit uxorem nomine Ceturam, quae peperit ei Zamran et Iecsan et Madan et Madian et Iesboc et Sue."
Gen_26,vulgata,"Orta autem fame super terram post eam sterilitatem, quae acciderat in diebus Abraham, abiit Isaac ad Abimelech regem Philisthim in Gerara. Apparuitque ei Dominus et ait: “Ne descendas in Aegyptum, sed habita in terra, quam dixero tibi,"
Gen_27,vulgata,"Senuit autem Isaac, et caligaverunt oculi eius, et videre non poterat. Vocavitque Esau filium suum maiorem et dixit ei: “ Fili mi ”. Qui respondit: “ Adsum ”. Cui pater: “ Vides, inquit, quod senuerim et ignorem diem mortis meae;"
